SWZ,Swaziland,12333,10960,9549,8199,7055,5877,4967,4479,4168,3974,3661,3504
SWE,Sweden,22967,22106,21423,21101,20906,20680,20051,19641,19524,19010,18233,17793
CHE,Switzerland,9722,8929,8533,8437,8437,8192,7851,7546,7387,7077,6668,6447
SYR,Syrian Arab Republic,3431,2913,2460,2077,1747,1477,1274,1109,988.4,864.8,840.9,908
TJK,Tajikistan,N/A,N/A,N/A,N/A,N/A,N/A,3967,3690,3420,3086,2763,2583
THA,Thailand,15082,12985,11228,9875,8903,8125,7593,7244,6838,6610,6530,6454
MKD,The former Yugoslav Republic of Macedonia,N/A,N/A,N/A,N/A,N/A,N/A,3237,3250,3154,3120,3093,3080
TLS,Timor-Leste,15877,14481,12915,13036,13832,11920,10362,9621,9181,8046,7455,6932
TGO,Togo,9113,7925,6539,5836,5043,4234,3690,3262,2859,2496,2179,2012
TTO,Trinidad and Tobago,4364,4147,3964,3692,3426,3213,3104,3045,3005,2934,2861,2824
TUN,Tunisia,1073,974,872.7,780.2,685.3,600,536.4,491.8,467.9,448.1,424.1,410.1
TUR,Turkey,7319,6521,5801,5158,4600,4135,3791,3504,3249,3044,2827,2690
TKM,Turkmenistan,N/A,N/A,N/A,N/A,N/A,N/A,6381,5713,5385,5099,4788,4609
UGA,Uganda,8301,7004,6017,5239,4513,3836,3236,2772,2370,2004,1698,1540
UKR,Ukraine,N/A,N/A,N/A,N/A,N/A,N/A,3416,3499,3660,3790,3868,3911
ARE,United Arab Emirates,1337,873.1,462.8,207.5,129.5,98.75,74.29,57.8,44.2,24.96,16.75,16.38
GBR,United Kingdom,2766,2677,2628,2614,2613,2595,2560,2523,2479,2404,2312,2271
TJK,United Republic of Tanzania,9011,7760,6637,5657,4839,4149,3539,3053,2685,2319,1979,1800
USA,United States of America,15996,15065,14394,13757,13118,12505,11900,11247,10639,10174,9749,9538
URY,Uruguay,66129,62618,61042,60273,58294,56459,54580,52644,51743,51557,50692,50175
UZB,Uzbekistan,N/A,N/A,N/A,N/A,N/A,N/A,2282,2082,1948,1838,1709,1635
VAT,Vanuatu,147471,127356,110108,94162,82372,73475,64433,57143,51546,45455,40404,37793
VEN,Venezuela (Bolivarian Republic of),150722,125855,107846,93785,81861,71862,63705,57339,52167,47884,44383,42594
VNM,Viet Nam,25490,22061,19410,17369,15529,13840,12429,11414,10793,10308,9787,9461
YEM,Yemen,393.3,360.4,329.6,290.6,241.4,199.2,158.6,128.4,111.5,96.77,84.39,78.26
ZMB,Zambia,32336,27630,23372,19611,16496,14031,12219,10733,9408,8227,7087,6464
ZWE,Zimbabwe,4993,4238,3589,3039,2539,2097,1815,1658,1576,1504,1373,1282
